Index,game_id,date,season,team,opp,starting_five,name,mp,fg,fga,fgp,tp,tpa,tpp,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm,tsp,efgp,tpar,ftr,orbp,drbp,trbp,astp,stlp,blkp,tovp,usgp,ortg,drtg
0,200903010ATL,"8:00 PM, March 1, 2009",2009,Cleveland Cavaliers,Atlanta Hawks,1,LeBron James,43:43,8,20,.400,2,7,.286,8,14,.571,1,5,6,11,1,2,0,3,26,+4,.497,.450,.350,.700,2.8,13.1,8.1,49.9,1.3,3.4,0.0,29.4,123,102
1,200903010ATL,"8:00 PM, March 1, 2009",2009,Cleveland Cavaliers,Atlanta Hawks,1,Delonte West,40:52,5,16,.313,0,4,.000,2,2,1.000,1,1,2,2,3,0,5,4,12,+11,.355,.313,.250,.125,3.0,2.8,2.9,8.7,4.1,0.0,22.9,26.3,64,102
2,200903010ATL,"8:00 PM, March 1, 2009",2009,Cleveland Cavaliers,Atlanta Hawks,1,Zydrunas Ilgauskas,36:10,7,9,.778,0,0,,3,3,1.000,3,8,11,0,2,1,1,3,17,+2,.824,.778,.000,.333,10.2,25.3,18.0,0.0,3.1,2.1,8.8,15.4,154,95
3,200903010ATL,"8:00 PM, March 1, 2009",2009,Cleveland Cavaliers,Atlanta Hawks,1,Mo Williams,35:37,8,15,.533,4,5,.800,0,0,,1,2,3,1,1,0,3,4,20,-1,.667,.667,.333,.000,3.5,6.4,5.0,6.1,1.6,0.0,16.7,24.9,109,106
4,200903010ATL,"8:00 PM, March 1, 2009",2009,Cleveland Cavaliers,Atlanta Hawks,1,Anderson Varejao,35:23,3,6,.500,0,0,,1,3,.333,2,5,7,1,1,0,1,3,7,+1,.478,.500,.000,.500,7.0,16.1,11.7,4.7,1.6,0.0,12.0,11.6,99,102
5,200903010ATL,"8:00 PM, March 1, 2009",2009,Cleveland Cavaliers,Atlanta Hawks,0,J.J. Hickson,18:44,2,3,.667,0,0,,2,2,1.000,2,4,6,0,0,0,2,2,6,-5,.773,.667,.000,.667,13.1,24.4,19.0,0.0,0.0,0.0,34.0,15.4,109,103
6,200903010ATL,"8:00 PM, March 1, 2009",2009,Cleveland Cavaliers,Atlanta Hawks,0,Daniel Gibson,17:21,0,4,.000,0,3,.000,0,0,,0,2,2,2,0,0,0,2,0,-2,.000,.000,.750,.000,0.0,13.2,6.8,16.8,0.0,0.0,0.0,11.3,31,106
7,200903010ATL,"8:00 PM, March 1, 2009",2009,Cleveland Cavaliers,Atlanta Hawks,0,Wally Szczerbiak,12:10,0,1,.000,0,1,.000,0,0,,0,3,3,1,1,0,1,2,0,-5,.000,.000,1.000,.000,0.0,28.2,14.6,12.0,4.6,0.0,50.0,8.1,26,91
8,200903010ATL,"8:00 PM, March 1, 2009",2009,Atlanta Hawks,Cleveland Cavaliers,1,Joe Johnson,38:31,8,17,.471,1,2,.500,4,7,.571,1,4,5,4,2,1,3,3,21,-1,.523,.500,.118,.412,3.0,12.8,7.7,23.7,2.9,2.3,13.0,28.6,104,101
9,200903010ATL,"8:00 PM, March 1, 2009",2009,Atlanta Hawks,Cleveland Cavaliers,1,Al Horford,36:38,3,10,.300,0,0,,4,4,1.000,1,9,10,1,1,2,2,3,10,-4,.425,.300,.000,.400,3.1,30.2,16.2,4.8,1.5,4.9,14.5,17.9,87,97
